Poz,X_Dif,Y_Dif
2.572,-0.157872249519333,-0.238150929288614
2.574,-0.137668996246223,-0.265763817255165
2.576,-0.126316110721152,-0.27952766502884
2.578,-0.137089605395672,-0.273781548509171
2.580,-0.126244117557299,-0.300284994048891
2.582,-0.130098934904019,-0.260563499862667
2.584,-0.153300280770287,-0.284430774864956
2.586,-0.151179366435743,-0.283082464064455
2.588,-0.154069295327616,-0.298083779412214
2.590,-0.159825434125797,-0.317811816766869
2.592,-0.140878331858272,-0.312667662587359
2.594,-0.129534345530564,-0.329142890713218
2.596,-0.125991088595233,-0.321330301828059
2.598,-0.116471376689962,-0.328658482619709
2.600,-0.139531522568438,-0.347186739707633
2.602,-0.156037891781365,-0.33497104709006
2.604,-0.152890502639851,-0.312295052949614
2.606,-0.116216565446944,-0.332288259529405
2.608,-0.0740684224982452,-0.353126462599567
2.610,-0.0745816156498917,-0.376506851405377
2.612,-0.0871811670278023,-0.342581722464675
2.614,-0.11499153111362,-0.343058565019685
2.616,-0.118177159947508,-0.350152961821345
2.618,-0.111976717429121,-0.359053758354442
2.620,-0.135849159215064,-0.327249977111118
2.622,-0.128642652668844,-0.33992531510361
2.624,-0.129087542344432,-0.343150120548112
2.626,-0.128741599780267,-0.339640491958373
2.628,-0.141819513534959,-0.315713980529191
2.630,-0.190045881527146,-0.323352513199255
2.632,-0.208002917569506,-0.28158202764977
2.634,-0.200419501327555,-0.314946467482528
2.636,-0.212836085085604,-0.323352531510361
2.638,-0.228153721732231,-0.312295907467879
2.640,-0.2150028992584,-0.323954301583911
2.642,-0.214517743461409,-0.312233884701071
2.644,-0.197285879085665,-0.334421845149083
2.646,-0.191808832056642,-0.343713724173711
2.648,-0.200923813592944,-0.338145084994049
2.650,-0.191282488479263,-0.353842005676443
2.652,-0.192779970702231,-0.346099758903775
2.654,-0.166148112430189,-0.349513394573809
2.656,-0.217722186956389,-0.338758146916105
2.658,-0.20960025635548,-0.335258882412183
2.660,-0.200921008941923,-0.32757491073336
2.662,-0.207551066621906,-0.315366136661885
2.664,-0.209801596118046,-0.310803958250679
2.666,-0.211536838892788,-0.351908932767724
2.668,-0.197487984862819,-0.354156358531449
2.670,-0.181171221045564,-0.354027497177038
2.672,-0.178682918790246,-0.350627155369732
2.674,-0.183615070039979,-0.358465108188116
2.676,-0.202673421430097,-0.361457304605243
2.678,-0.204230774864956,-0.360118411816767
2.680,-0.192463069551683,-0.352563212988678
2.682,-0.177366484572893,-0.349458720664083
2.684,-0.17193152867214,-0.377919071016572
2.686,-0.164044404431288,-0.369542783898434
2.688,-0.174479366435743,-0.384075048066652
2.690,-0.196808545182653,-0.361613818781091
2.692,-0.194921720023194,-0.400161861018708
2.694,-0.189886165959655,-0.392808651997436
2.696,-0.196132868434706,-0.373736689352092
2.698,-0.191723963133641,-0.368933835871456
